,school_state,resource_type,poverty_level,total_donations,funding_status,date_posted
229602,NY,Books,highest poverty,217,completed,2010-09-15 00:00:00
397106,IL,Technology,highest poverty,570,completed,2012-02-26 00:00:00
600032,NY,Books,highest poverty,424,completed,2013-11-10 00:00:00
69694,AR,Technology,highest poverty,104,expired,2008-01-11 00:00:00
143018,IL,Technology,high poverty,0,expired,2009-07-08 00:00:00
651629,MO,Technology,highest poverty,5,expired,2014-03-29 00:00:00
419253,SC,Books,highest poverty,460,completed,2012-06-10 00:00:00
469950,IL,Books,highest poverty,451,completed,2012-11-03 00:00:00
650258,CA,Technology,highest poverty,0,expired,2014-03-25 00:00:00
26319,IL,Supplies,highest poverty,0,expired,2006-08-28 00:00:00
823928,GA,Other,highest poverty,522,completed,2015-03-21 00:00:00
701170,AR,Supplies,highest poverty,662,completed,2014-08-22 00:00:00
314141,LA,Books,highest poverty,408,completed,2011-07-02 00:00:00
39736,TX,Supplies,highest poverty,408,completed,2007-02-20 00:00:00
18104,IL,Books,highest poverty,400,completed,2006-02-24 00:00:00
297273,FL,Books,low poverty,436,completed,2011-04-05 00:00:00
753845,FL,Books,highest poverty,0,expired,2014-10-08 00:00:00
236833,CA,Supplies,highest poverty,10,expired,2010-09-30 00:00:00
90745,NY,Supplies,highest poverty,264,completed,2008-06-22 00:00:00
140790,CA,Books,highest poverty,421,completed,2009-06-09 00:00:00
594422,NY,Books,highest poverty,154,completed,2013-11-01 00:00:00
526514,NY,Technology,highest poverty,703,completed,2013-06-10 00:00:00
401229,AZ,Books,high poverty,343,completed,2012-03-10 00:00:00
694299,PA,Other,highest poverty,1039,completed,2014-08-14 00:00:00
574862,CA,Technology,moderate poverty,257,completed,2013-10-01 00:00:00
611035,IL,Supplies,high poverty,439,completed,2013-12-03 00:00:00
797239,MI,Technology,moderate poverty,440,completed,2015-01-19 00:00:00
243879,TX,Supplies,highest poverty,518,completed,2010-10-17 00:00:00
765587,VA,Technology,highest poverty,330,completed,2014-10-27 00:00:00
620786,CA,Supplies,moderate poverty,951,completed,2014-01-05 00:00:00
472446,MA,Trips,highest poverty,3267,completed,2012-11-09 00:00:00
272859,NM,Books,moderate poverty,367,completed,2011-01-22 00:00:00
396973,NY,Supplies,highest poverty,1058,completed,2012-02-26 00:00:00
842571,SC,Technology,high poverty,418,completed,2015-05-13 00:00:00
1012,NY,Supplies,highest poverty,1170,completed,2003-06-18 00:00:00
842689,FL,Supplies,highest poverty,545,completed,2015-05-13 00:00:00
804575,MI,Technology,high poverty,0,expired,2015-02-04 00:00:00
295198,TN,Technology,highest poverty,563,completed,2011-04-01 00:00:00
167905,NY,Other,highest poverty,147,completed,2009-10-18 00:00:00
540209,AZ,Technology,highest poverty,0,expired,2013-08-03 00:00:00
838104,CA,Supplies,highest poverty,0,live,2015-05-01 00:00:00
330400,MO,Supplies,highest poverty,0,expired,2011-08-31 00:00:00
81983,CA,Books,high poverty,205,completed,2008-03-19 00:00:00
357848,CA,Books,highest poverty,912,completed,2011-11-28 00:00:00
852444,AZ,Other,highest poverty,643,completed,2015-06-12 00:00:00
36154,DC,Supplies,highest poverty,100,expired,2006-12-21 00:00:00
182509,CO,Books,highest poverty,592,completed,2010-01-15 00:00:00
62513,CA,Technology,highest poverty,0,expired,2007-11-23 00:00:00
516701,LA,Technology,highest poverty,12,expired,2013-04-23 00:00:00
241476,CA,Books,high poverty,346,completed,2010-10-10 00:00:00
566659,FL,Technology,highest poverty,20,expired,2013-09-17 00:00:00
20893,CA,Other,high poverty,241,completed,2006-04-20 00:00:00
434269,TX,Books,highest poverty,490,completed,2012-08-19 00:00:00
167794,NY,Technology,highest poverty,30,expired,2009-10-18 00:00:00
222724,CA,Technology,high poverty,894,completed,2010-08-31 00:00:00
494094,TX,Technology,highest poverty,0,expired,2013-01-25 00:00:00
836495,IL,Supplies,moderate poverty,452,completed,2015-04-25 00:00:00
860259,SC,Supplies,high poverty,0,live,2015-07-08 00:00:00
607486,AZ,Books,high poverty,289,completed,2013-11-24 00:00:00
211178,DC,Technology,high poverty,1001,completed,2010-07-15 00:00:00
93092,AZ,Books,high poverty,161,completed,2008-07-20 00:00:00
306684,NY,Books,highest poverty,545,completed,2011-05-14 00:00:00
358720,NY,Other,highest poverty,219,completed,2011-11-30 00:00:00
692156,CA,Technology,high poverty,127,expired,2014-08-10 00:00:00
271323,FL,Technology,moderate poverty,25,expired,2011-01-17 00:00:00
294483,MA,Books,highest poverty,518,completed,2011-03-30 00:00:00
254097,TN,Supplies,moderate poverty,383,completed,2010-11-28 00:00:00
197916,CA,Technology,highest poverty,1086,completed,2010-04-09 00:00:00
15505,NC,Books,high poverty,209,completed,2005-12-08 00:00:00
9944,NC,Technology,high poverty,0,expired,2005-06-08 00:00:00
866521,IL,Supplies,highest poverty,0,live,2015-07-26 00:00:00
419142,IL,Books,highest poverty,0,expired,2012-06-10 00:00:00
224361,WA,Technology,highest poverty,482,completed,2010-09-03 00:00:00
672016,IA,Supplies,highest poverty,163,completed,2014-06-15 00:00:00
349548,IL,Supplies,high poverty,227,completed,2011-10-26 00:00:00
457308,CA,Books,highest poverty,272,completed,2012-10-07 00:00:00
320042,OK,Technology,high poverty,948,completed,2011-07-31 00:00:00
334301,UT,Supplies,high poverty,10,reallocated,2011-09-12 00:00:00
328778,NY,Technology,highest poverty,0,expired,2011-08-27 00:00:00
376396,CA,Supplies,high poverty,796,completed,2012-01-15 00:00:00
278613,VA,Technology,low poverty,5,expired,2011-02-06 00:00:00
196153,NC,Supplies,moderate poverty,0,expired,2010-03-30 00:00:00
773333,IA,Books,highest poverty,669,completed,2014-11-14 00:00:00
832820,AL,Technology,highest poverty,1943,completed,2015-04-12 00:00:00
279018,FL,Books,highest poverty,995,completed,2011-02-07 00:00:00
819000,KS,Supplies,highest poverty,2404,completed,2015-03-08 00:00:00
337883,NC,Other,high poverty,0,expired,2011-09-23 00:00:00
432676,TN,Supplies,highest poverty,882,completed,2012-08-14 00:00:00
485508,NY,Supplies,highest poverty,205,completed,2012-12-18 00:00:00
134996,AZ,Books,highest poverty,495,completed,2009-05-05 00:00:00
786304,FL,Books,highest poverty,461,completed,2014-12-19 00:00:00
121287,IN,Supplies,high poverty,0,expired,2009-02-04 00:00:00
184463,CA,Books,highest poverty,387,completed,2010-01-27 00:00:00
518462,FL,Technology,moderate poverty,250,expired,2013-05-04 00:00:00
637764,TN,Technology,highest poverty,852,completed,2014-02-23 00:00:00
677277,MA,Technology,moderate poverty,274,completed,2014-07-03 00:00:00
830668,OR,Books,high poverty,171,completed,2015-04-04 00:00:00
566437,KY,Supplies,highest poverty,322,completed,2013-09-16 00:00:00
484569,CA,Technology,high poverty,534,completed,2012-12-15 00:00:00
78938,TN,Books,highest poverty,50,expired,2008-03-03 00:00:00
780033,LA,Books,high poverty,579,completed,2014-12-01 00:00:00
858420,NC,Books,highest poverty,110,live,2015-07-01 00:00:00
377039,CA,Supplies,moderate poverty,453,completed,2012-01-17 00:00:00
412261,WI,Technology,moderate poverty,266,completed,2012-04-29 00:00:00
473980,CA,Books,highest poverty,680,completed,2012-11-14 00:00:00
704429,RI,Technology,highest poverty,535,expired,2014-08-24 00:00:00
401979,MO,Supplies,highest poverty,285,completed,2012-03-13 00:00:00
782674,CA,Supplies,moderate poverty,62,expired,2014-12-07 00:00:00
740998,TN,Technology,highest poverty,885,completed,2014-09-21 00:00:00
400712,FL,Books,high poverty,516,completed,2012-03-10 00:00:00
526817,MA,Other,highest poverty,0,expired,2013-06-11 00:00:00
350770,WA,Technology,highest poverty,308,completed,2011-10-30 00:00:00
675395,OK,Supplies,high poverty,272,completed,2014-06-24 00:00:00
41948,NC,Technology,highest poverty,130,expired,2007-04-02 00:00:00
520808,TX,Books,high poverty,155,completed,2013-05-12 00:00:00
607531,OH,Technology,highest poverty,238,completed,2013-11-24 00:00:00
803454,HI,Other,high poverty,946,completed,2015-02-01 00:00:00
872477,MI,Other,moderate poverty,0,live,2015-08-04 00:00:00
287814,NV,Supplies,highest poverty,206,completed,2011-03-08 00:00:00
276119,AL,Supplies,highest poverty,182,reallocated,2011-01-30 00:00:00
50774,GA,Supplies,highest poverty,356,completed,2007-09-11 00:00:00
620236,FL,Technology,highest poverty,0,expired,2014-01-03 00:00:00
277599,TX,Technology,highest poverty,0,expired,2011-02-04 00:00:00
626310,OH,Books,high poverty,342,completed,2014-01-21 00:00:00
621518,CA,Other,highest poverty,493,completed,2014-01-07 00:00:00
390356,AZ,Supplies,highest poverty,681,completed,2012-02-09 00:00:00
649169,IL,Supplies,highest poverty,20,expired,2014-03-22 00:00:00
466916,TX,Supplies,highest poverty,227,completed,2012-10-25 00:00:00
367957,NY,Technology,highest poverty,532,completed,2011-12-19 00:00:00
322515,NV,Supplies,high poverty,231,completed,2011-08-10 00:00:00
132224,LA,Books,high poverty,0,expired,2009-04-12 00:00:00
337208,NY,Other,highest poverty,698,completed,2011-09-22 00:00:00
802328,LA,Supplies,highest poverty,293,completed,2015-01-30 00:00:00
93890,LA,Books,highest poverty,150,expired,2008-07-27 00:00:00
521069,NY,Other,highest poverty,0,expired,2013-05-12 00:00:00
579192,NC,Books,highest poverty,214,completed,2013-10-06 00:00:00
413156,CA,Supplies,highest poverty,846,completed,2012-05-04 00:00:00
587024,WA,Supplies,high poverty,433,completed,2013-10-20 00:00:00
183753,CA,Supplies,highest poverty,418,completed,2010-01-22 00:00:00
288492,ND,Other,moderate poverty,426,completed,2011-03-11 00:00:00
605246,FL,Supplies,high poverty,249,completed,2013-11-18 00:00:00
456390,MN,Supplies,low poverty,450,completed,2012-10-06 00:00:00
87202,IN,Supplies,highest poverty,392,completed,2008-04-29 00:00:00
196076,NY,Technology,highest poverty,629,completed,2010-03-29 00:00:00
426988,IN,Supplies,highest poverty,410,completed,2012-07-24 00:00:00
583051,CO,Supplies,highest poverty,1024,completed,2013-10-13 00:00:00
155465,SC,Supplies,highest poverty,0,expired,2009-09-08 00:00:00
86707,CA,Supplies,low poverty,445,completed,2008-04-23 00:00:00
8792,CA,Supplies,highest poverty,343,completed,2005-04-07 00:00:00
717071,CA,Technology,highest poverty,1984,completed,2014-09-03 00:00:00
520882,IN,Technology,highest poverty,440,expired,2013-05-12 00:00:00
254017,OK,Supplies,highest poverty,178,completed,2010-11-28 00:00:00
776616,OH,Other,high poverty,25,expired,2014-11-20 00:00:00
290155,IL,Supplies,moderate poverty,116,expired,2011-03-16 00:00:00
130659,IL,Supplies,highest poverty,0,expired,2009-03-31 00:00:00
460175,FL,Supplies,high poverty,22,expired,2012-10-13 00:00:00
140278,FL,Supplies,highest poverty,250,completed,2009-06-04 00:00:00
873058,OH,Other,high poverty,289,live,2015-08-05 00:00:00
576932,LA,Technology,high poverty,45,reallocated,2013-10-04 00:00:00
651400,CA,Supplies,highest poverty,219,completed,2014-03-28 00:00:00
23232,CA,Books,highest poverty,292,completed,2006-06-22 00:00:00
855137,NE,Supplies,highest poverty,460,completed,2015-06-20 00:00:00
170998,MS,Technology,highest poverty,175,completed,2009-11-07 00:00:00
801918,OR,Technology,highest poverty,2169,completed,2015-01-29 00:00:00
167922,SC,Other,moderate poverty,195,completed,2009-10-18 00:00:00
152396,MI,Supplies,high poverty,20,expired,2009-08-27 00:00:00
600417,AL,Supplies,highest poverty,367,completed,2013-11-11 00:00:00
212835,FL,Other,highest poverty,185,completed,2010-07-26 00:00:00
401331,IL,Books,highest poverty,489,completed,2012-03-10 00:00:00
204345,NC,Technology,high poverty,0,expired,2010-05-19 00:00:00
326541,IL,Books,highest poverty,430,completed,2011-08-21 00:00:00
673799,CA,Supplies,highest poverty,534,completed,2014-06-20 00:00:00
314856,MO,Books,highest poverty,207,completed,2011-07-07 00:00:00
460112,AZ,Supplies,high poverty,795,completed,2012-10-13 00:00:00
144266,IL,Technology,highest poverty,618,completed,2009-07-15 00:00:00
276745,FL,Supplies,moderate poverty,396,completed,2011-02-01 00:00:00
726272,NY,Technology,high poverty,241,completed,2014-09-07 00:00:00
314758,DC,Books,high poverty,312,completed,2011-07-07 00:00:00
20579,NY,Supplies,highest poverty,0,expired,2006-04-15 00:00:00
343345,UT,Technology,high poverty,959,completed,2011-10-05 00:00:00
583838,NJ,Books,low poverty,878,completed,2013-10-14 00:00:00
328211,MO,Supplies,highest poverty,939,completed,2011-08-25 00:00:00
70390,LA,Technology,highest poverty,297,reallocated,2008-01-14 00:00:00
12150,DC,Supplies,high poverty,0,expired,2005-09-02 00:00:00
735415,LA,Technology,high poverty,0,expired,2014-09-17 00:00:00
520691,NC,Supplies,highest poverty,311,completed,2013-05-12 00:00:00
780092,CA,Supplies,high poverty,684,completed,2014-12-01 00:00:00
600482,GA,Technology,highest poverty,0,expired,2013-11-11 00:00:00
804275,WV,Supplies,highest poverty,100,expired,2015-02-03 00:00:00
230666,TN,Technology,moderate poverty,0,expired,2010-09-17 00:00:00
610151,CA,Technology,high poverty,256,completed,2013-12-01 00:00:00
393902,AZ,Technology,highest poverty,338,completed,2012-02-17 00:00:00
81342,IN,Supplies,high poverty,0,expired,2008-03-17 00:00:00
661174,FL,Supplies,high poverty,813,completed,2014-05-03 00:00:00
610895,FL,Technology,highest poverty,0,expired,2013-12-03 00:00:00
351680,CT,Other,high poverty,178,completed,2011-11-04 00:00:00
129491,IN,Books,high poverty,490,completed,2009-03-25 00:00:00
514157,FL,Supplies,moderate poverty,0,expired,2013-04-12 00:00:00
45519,SC,Technology,moderate poverty,431,completed,2007-07-03 00:00:00
830910,CA,Supplies,highest poverty,199,completed,2015-04-05 00:00:00
852148,FL,Supplies,highest poverty,0,live,2015-06-10 00:00:00
119610,TX,Supplies,highest poverty,0,expired,2009-01-25 00:00:00
537588,TX,Technology,highest poverty,866,completed,2013-07-25 00:00:00
124388,IL,Books,highest poverty,150,completed,2009-02-21 00:00:00
377392,CA,Supplies,highest poverty,754,completed,2012-01-19 00:00:00
863158,MD,Supplies,highest poverty,0,live,2015-07-18 00:00:00
298668,FL,Technology,moderate poverty,151,completed,2011-04-07 00:00:00
805415,CA,Supplies,highest poverty,221,completed,2015-02-06 00:00:00
9345,NY,Trips,highest poverty,234,completed,2005-05-02 00:00:00
794508,OK,Supplies,highest poverty,275,completed,2015-01-16 00:00:00
618771,IL,Supplies,moderate poverty,425,completed,2013-12-29 00:00:00
706735,CA,Other,highest poverty,389,completed,2014-08-24 00:00:00
256531,CA,Technology,highest poverty,400,expired,2010-12-07 00:00:00
416544,TX,Books,high poverty,354,completed,2012-05-21 00:00:00
615983,NC,Supplies,moderate poverty,231,completed,2013-12-16 00:00:00
837887,WA,Technology,high poverty,117,live,2015-04-29 00:00:00
864559,CA,Books,highest poverty,175,live,2015-07-24 00:00:00
133576,HI,Supplies,moderate poverty,660,completed,2009-04-27 00:00:00
325812,MD,Books,highest poverty,15,expired,2011-08-20 00:00:00
856648,CA,Technology,high poverty,958,completed,2015-06-26 00:00:00
415518,CA,Technology,moderate poverty,975,completed,2012-05-14 00:00:00
783425,IL,Technology,highest poverty,393,completed,2014-12-09 00:00:00
388967,CA,Other,high poverty,0,expired,2012-02-05 00:00:00
276828,CA,Supplies,high poverty,0,expired,2011-02-01 00:00:00
108554,UT,Books,moderate poverty,989,completed,2008-11-02 00:00:00
274948,PA,Books,highest poverty,288,completed,2011-01-26 00:00:00
209965,GA,Technology,high poverty,11,expired,2010-07-05 00:00:00
588291,IL,Technology,high poverty,571,completed,2013-10-22 00:00:00
180206,SC,Technology,high poverty,100,expired,2010-01-04 00:00:00
552721,LA,Supplies,high poverty,0,expired,2013-08-28 00:00:00
593795,GA,Technology,highest poverty,980,completed,2013-10-31 00:00:00
739120,TX,Technology,highest poverty,0,expired,2014-09-20 00:00:00
510361,CA,,highest poverty,588,completed,2013-03-24 00:00:00
782273,NJ,Supplies,high poverty,155,expired,2014-12-07 00:00:00
70242,MO,Technology,highest poverty,707,completed,2008-01-14 00:00:00
387783,CA,Supplies,high poverty,521,completed,2012-02-04 00:00:00
60610,CA,Other,highest poverty,180,completed,2007-11-12 00:00:00
309931,NC,Technology,highest poverty,5,expired,2011-06-05 00:00:00
815264,CA,Technology,high poverty,983,completed,2015-02-27 00:00:00
379415,VA,Other,high poverty,886,completed,2012-01-21 00:00:00
171948,MO,Technology,highest poverty,0,expired,2009-11-12 00:00:00
282856,GA,Supplies,highest poverty,0,expired,2011-02-20 00:00:00
250913,NY,Supplies,high poverty,421,completed,2010-11-14 00:00:00
445945,AZ,Supplies,highest poverty,55,expired,2012-09-12 00:00:00
486531,AZ,Other,highest poverty,168,completed,2012-12-23 00:00:00
18080,NY,Books,highest poverty,251,completed,2006-02-23 00:00:00
379860,CA,Technology,high poverty,415,completed,2012-01-22 00:00:00
522162,NC,Technology,moderate poverty,150,expired,2013-05-19 00:00:00
806953,IN,Supplies,highest poverty,489,completed,2015-02-08 00:00:00
207730,NY,Books,highest poverty,258,completed,2010-06-17 00:00:00
372205,NY,Supplies,high poverty,645,completed,2012-01-07 00:00:00
231480,CA,Technology,highest poverty,887,completed,2010-09-19 00:00:00
720333,CA,Technology,moderate poverty,2131,completed,2014-09-05 00:00:00
645436,UT,Technology,high poverty,885,completed,2014-03-13 00:00:00
150464,NY,Technology,highest poverty,665,completed,2009-08-20 00:00:00
401985,NJ,Books,high poverty,0,expired,2012-03-13 00:00:00
428823,NC,Supplies,highest poverty,507,completed,2012-07-30 00:00:00
515623,NJ,Supplies,highest poverty,988,completed,2013-04-17 00:00:00
74025,NJ,Supplies,highest poverty,150,expired,2008-02-04 00:00:00
227108,CA,Books,highest poverty,640,completed,2010-09-09 00:00:00
529882,SC,Supplies,highest poverty,0,expired,2013-06-26 00:00:00
747876,WI,Other,highest poverty,622,completed,2014-09-28 00:00:00
568883,CA,Supplies,highest poverty,171,completed,2013-09-20 00:00:00
33823,NC,Supplies,high poverty,0,expired,2006-11-14 00:00:00
318284,OK,Technology,moderate poverty,10,expired,2011-07-26 00:00:00
623327,TN,Technology,highest poverty,553,completed,2014-01-12 00:00:00
257014,MI,Supplies,moderate poverty,407,completed,2010-12-08 00:00:00
489720,KY,Technology,highest poverty,207,completed,2013-01-09 00:00:00
454437,NY,Books,highest poverty,196,completed,2012-10-01 00:00:00
114647,OH,Books,highest poverty,910,completed,2008-12-17 00:00:00
838683,CA,Books,moderate poverty,1748,completed,2015-05-03 00:00:00
788898,MS,Other,highest poverty,811,completed,2014-12-29 00:00:00
697228,GA,Other,highest poverty,2325,completed,2014-08-17 00:00:00
669105,CA,Supplies,highest poverty,389,completed,2014-06-02 00:00:00
793772,NC,Technology,highest poverty,0,expired,2015-01-15 00:00:00
169057,CA,Books,highest poverty,570,completed,2009-10-26 00:00:00
269995,NY,Technology,highest poverty,0,expired,2011-01-15 00:00:00
668163,CA,Technology,high poverty,660,expired,2014-05-29 00:00:00
659810,AZ,Books,moderate poverty,377,completed,2014-04-29 00:00:00
185410,NC,Books,highest poverty,230,completed,2010-01-31 00:00:00
382955,CA,Technology,highest poverty,908,completed,2012-01-29 00:00:00
805148,NC,Supplies,low poverty,50,expired,2015-02-05 00:00:00
738829,CA,Technology,moderate poverty,749,completed,2014-09-20 00:00:00
704529,FL,Supplies,highest poverty,198,completed,2014-08-24 00:00:00
548517,NY,Supplies,high poverty,359,completed,2013-08-20 00:00:00
479802,TX,Technology,highest poverty,753,completed,2012-12-02 00:00:00
462809,IN,Supplies,moderate poverty,10,expired,2012-10-16 00:00:00
759330,OR,Other,highest poverty,265,expired,2014-10-17 00:00:00
835919,SC,Technology,high poverty,2321,completed,2015-04-22 00:00:00
424672,AR,Supplies,highest poverty,596,completed,2012-07-14 00:00:00
24304,NY,Supplies,highest poverty,25,expired,2006-07-23 00:00:00
459037,MO,Books,high poverty,457,completed,2012-10-10 00:00:00
558052,LA,Technology,highest poverty,912,completed,2013-09-04 00:00:00
140882,OR,Supplies,highest poverty,526,completed,2009-06-10 00:00:00
479491,IL,Books,highest poverty,284,completed,2012-12-02 00:00:00
96072,IL,Books,highest poverty,0,expired,2008-08-12 00:00:00
427527,CA,Books,highest poverty,436,completed,2012-07-27 00:00:00
624229,CA,Supplies,highest poverty,585,completed,2014-01-15 00:00:00
643806,CA,Books,highest poverty,227,completed,2014-03-09 00:00:00
787265,CA,Other,high poverty,495,completed,2014-12-22 00:00:00
753544,MI,Books,highest poverty,578,completed,2014-10-07 00:00:00
627358,NY,Supplies,highest poverty,155,completed,2014-01-25 00:00:00
841853,TN,Technology,high poverty,10,live,2015-05-11 00:00:00
636841,NY,Books,highest poverty,766,completed,2014-02-21 00:00:00
21599,IL,Books,highest poverty,0,expired,2006-05-06 00:00:00
170037,IN,Supplies,highest poverty,0,expired,2009-10-30 00:00:00
320373,DC,Technology,highest poverty,561,completed,2011-08-01 00:00:00
683569,MO,Supplies,moderate poverty,1124,completed,2014-07-23 00:00:00
100223,NC,Books,high poverty,297,completed,2008-09-09 00:00:00
445987,NV,Supplies,moderate poverty,635,completed,2012-09-13 00:00:00
247337,OK,Books,highest poverty,872,completed,2010-10-28 00:00:00
269013,NY,Technology,high poverty,186,completed,2011-01-10 00:00:00
371026,CA,Technology,highest poverty,0,expired,2012-01-03 00:00:00
372215,CA,Technology,high poverty,186,completed,2012-01-07 00:00:00
139924,IL,Supplies,highest poverty,460,completed,2009-06-01 00:00:00
507525,MO,Technology,high poverty,245,expired,2013-03-09 00:00:00
331714,CA,Supplies,moderate poverty,1080,completed,2011-09-04 00:00:00
803256,SC,Technology,highest poverty,222,completed,2015-02-01 00:00:00
628728,SC,Books,highest poverty,201,completed,2014-01-29 00:00:00
303257,WA,Books,highest poverty,559,completed,2011-04-20 00:00:00
106858,NC,Technology,highest poverty,944,completed,2008-10-21 00:00:00
182719,NY,Books,highest poverty,350,completed,2010-01-16 00:00:00
72431,ME,Supplies,high poverty,688,completed,2008-01-27 00:00:00
753481,MA,Supplies,highest poverty,393,completed,2014-10-07 00:00:00
604021,CA,Technology,highest poverty,0,expired,2013-11-16 00:00:00
383997,WA,Supplies,highest poverty,449,completed,2012-01-30 00:00:00
764099,NC,Supplies,high poverty,383,completed,2014-10-25 00:00:00
412227,NJ,Technology,high poverty,306,completed,2012-04-29 00:00:00
477972,CA,Technology,moderate poverty,1086,completed,2012-11-28 00:00:00
600626,KY,Supplies,highest poverty,524,completed,2013-11-11 00:00:00
544151,SC,Supplies,high poverty,240,completed,2013-08-11 00:00:00
430131,CA,Books,highest poverty,301,completed,2012-08-06 00:00:00
587958,MA,Books,highest poverty,747,completed,2013-10-21 00:00:00
746805,NC,Supplies,high poverty,0,expired,2014-09-27 00:00:00
383727,CA,Technology,high poverty,175,expired,2012-01-29 00:00:00
736499,ME,Other,highest poverty,448,completed,2014-09-18 00:00:00
35023,NC,Trips,highest poverty,0,expired,2006-12-01 00:00:00
380626,CA,Other,high poverty,244,completed,2012-01-23 00:00:00
120765,AZ,Books,highest poverty,380,completed,2009-02-01 00:00:00
238447,IL,Supplies,high poverty,164,completed,2010-10-03 00:00:00
205946,IL,Books,highest poverty,506,completed,2010-05-31 00:00:00
835031,NY,Technology,high poverty,192,completed,2015-04-19 00:00:00
203684,WI,Supplies,moderate poverty,0,expired,2010-05-14 00:00:00
788758,KY,Technology,moderate poverty,234,completed,2014-12-29 00:00:00
262302,IL,Books,highest poverty,180,completed,2010-12-21 00:00:00
844154,GA,Technology,highest poverty,0,live,2015-05-17 00:00:00
273702,DC,Books,moderate poverty,517,completed,2011-01-24 00:00:00
805275,MN,Supplies,highest poverty,487,completed,2015-02-05 00:00:00
798021,AZ,Technology,highest poverty,417,completed,2015-01-20 00:00:00
6628,IL,Supplies,highest poverty,1155,completed,2004-12-09 00:00:00
125838,MO,Technology,highest poverty,431,completed,2009-03-01 00:00:00
93655,OH,Supplies,highest poverty,230,completed,2008-07-24 00:00:00
794329,CA,Technology,highest poverty,684,completed,2015-01-15 00:00:00
462589,NC,Supplies,high poverty,0,expired,2012-10-16 00:00:00
728876,MI,Technology,highest poverty,293,completed,2014-09-12 00:00:00
329548,IL,Supplies,highest poverty,289,completed,2011-08-28 00:00:00
404553,TX,Books,highest poverty,467,completed,2012-03-19 00:00:00
734926,TX,Other,moderate poverty,0,expired,2014-09-16 00:00:00
461263,NC,Technology,highest poverty,15,expired,2012-10-14 00:00:00
581694,OK,Technology,high poverty,323,completed,2013-10-11 00:00:00
728295,TX,Books,highest poverty,0,expired,2014-09-11 00:00:00
76961,SC,Books,highest poverty,0,expired,2008-02-21 00:00:00
780200,CA,Technology,high poverty,920,expired,2014-12-02 00:00:00
652196,SC,Books,highest poverty,198,completed,2014-03-31 00:00:00
197397,CA,Technology,low poverty,278,completed,2010-04-06 00:00:00
421203,WA,Books,high poverty,476,completed,2012-06-23 00:00:00
312699,NY,Supplies,low poverty,10,expired,2011-06-24 00:00:00
358679,NY,Supplies,highest poverty,315,completed,2011-11-30 00:00:00
290678,OH,Technology,high poverty,542,completed,2011-03-19 00:00:00
152580,NY,Supplies,highest poverty,142,completed,2009-08-28 00:00:00
