token,total_count,ratio
90,22.0,1.2
90s,5.0,1.5
91,5.0,0.6666666666666666
911,4.0,0.3333333333333333
945am,3.0,0.5
95,26.0,1.0
96,3.0,2.0
977,3.0,2.0
98,6.0,0.2
99,37.0,5.166666666666667
9999,3.0,2.0
99cent,3.0,0.5
9oz,3.0,2.0
9p,3.0,2.0
9pm,4.0,3.0
9year,3.0,2.0
9yo,3.0,2.0
______,3.0,0.5
_______________,3.0,2.0
_c,3.0,2.0
_gyib8ea4hdfylss17zc_g,3.0,2.0
a1,3.0,2.0
aa,8.0,7.0
aaa,3.0,2.0
aaaamazing,3.0,2.0
aaammmazzing,3.0,2.0
aaron,9.0,3.5
ab,5.0,4.0
abandoned,4.0,1.0
abandoning,3.0,0.5
abba,3.0,2.0
abbreviate,3.0,2.0
abbreviated,3.0,2.0
abby,3.0,2.0
abc,3.0,2.0
abdomen,3.0,2.0
abilities,4.0,3.0
ability,8.0,1.6666666666666667
able,108.0,5.75
abodoba,3.0,2.0
abound,3.0,2.0
about,1020.0,3.197530864197531
above,38.0,3.75
abrasion,3.0,2.0
abroad,5.0,1.5
abrupt,4.0,1.0
absent,4.0,1.0
absinthe,3.0,2.0
absoloutely,3.0,2.0
absolut,3.0,2.0
absolute,26.0,7.666666666666667
absolutely,131.0,4.954545454545454
absolutley,4.0,3.0
absolutly,3.0,0.5
abstained,3.0,2.0
absurd,5.0,0.25
abuelo,3.0,0.5
abundance,6.0,5.0
abundant,4.0,3.0
abuse,3.0,0.5
abused,3.0,2.0
abusive,3.0,2.0
ac,11.0,1.2
academy,4.0,3.0
acapulco,3.0,2.0
accent,5.0,1.5
accented,4.0,3.0
accents,3.0,0.5
accept,9.0,0.8
acceptable,7.0,0.75
accepted,7.0,1.3333333333333333
access,5.0,4.0
accessed,3.0,2.0
accessible,3.0,2.0
accessories,18.0,5.0
accessorize,3.0,2.0
accessory,3.0,0.5
accident,4.0,3.0
accidental,3.0,2.0
accidentally,3.0,2.0
accolades,3.0,2.0
accommodate,10.0,9.0
accommodated,4.0,3.0
accommodates,4.0,3.0
accommodating,20.0,19.0
accommodations,7.0,1.3333333333333333
accomodate,4.0,3.0
accomodating,13.0,12.0
accompanied,5.0,4.0
accompanies,3.0,2.0
accompaniment,3.0,2.0
accompany,8.0,7.0
accompanying,4.0,3.0
accomplish,5.0,1.5
accomplished,4.0,3.0
accomplishment,4.0,1.0
according,12.0,0.5
accordingly,4.0,3.0
account,18.0,1.25
accounts,3.0,2.0
accoutrement,3.0,2.0
accredited,3.0,0.5
accross,3.0,2.0
accurate,6.0,5.0
accurately,4.0,3.0
accusation,3.0,2.0
accustom,3.0,2.0
accustomed,4.0,3.0
accutemp,3.0,2.0
ace,6.0,5.0
ache,4.0,1.0
aches,3.0,0.5
achieve,4.0,3.0
achievement,4.0,3.0
acid,3.0,0.5
acidic,3.0,2.0
acknowledge,10.0,0.1111111111111111
acknowledged,7.0,0.16666666666666666
acknowledgement,3.0,0.5
acknowledging,3.0,0.5
ackward,3.0,0.5
acne,3.0,2.0
acoustic,5.0,0.6666666666666666
acoustics,4.0,3.0
acquaintance,4.0,1.0
acres,3.0,2.0
acrid,4.0,0.3333333333333333
acrimonious,3.0,0.5
across,66.0,3.4
acrylics,7.0,0.75
act,12.0,3.0
acted,10.0,0.42857142857142855
acting,3.0,2.0
action,9.0,2.0
actions,7.0,0.16666666666666666
activation,3.0,2.0
active,13.0,2.25
actively,3.0,2.0
activism,3.0,0.5
activities,6.0,5.0
activity,11.0,2.6666666666666665
actor,3.0,2.0
actors,5.0,1.5
acts,6.0,5.0
actual,26.0,2.25
actually,200.0,2.0303030303030303
actualy,3.0,2.0
actully,3.0,2.0
acute,3.0,2.0
acy,3.0,0.5
ad,5.0,4.0
adage,3.0,0.5
adam,7.0,1.3333333333333333
adamant,3.0,0.5
adams,4.0,3.0
adapter,3.0,2.0
add,83.0,2.9523809523809526
added,63.0,6.875
addendum,3.0,2.0
addict,3.0,2.0
addicted,17.0,7.5
addicting,6.0,5.0
addictingly,3.0,2.0
addiction,8.0,7.0
addictionovercome,3.0,2.0
addictive,11.0,10.0
addicts,3.0,0.5
adding,25.0,3.1666666666666665
addition,37.0,8.25
additional,15.0,1.1428571428571428
additionally,4.0,3.0
additions,3.0,2.0
address,11.0,1.2
addressed,4.0,1.0
addressing,3.0,2.0
adds,10.0,9.0
ade,4.0,3.0
adelman,3.0,2.0
adequate,5.0,1.5
adequately,3.0,0.5
adios,3.0,0.5
adjacent,9.0,3.5
adjoining,5.0,1.5
adjust,6.0,5.0
adjusted,5.0,4.0
adjustment,3.0,2.0
adjustments,3.0,0.5
administrative,4.0,3.0
admire,3.0,2.0
admission,6.0,5.0
admit,32.0,4.333333333333333
admits,3.0,0.5
admitted,3.0,2.0
admittedly,4.0,3.0
admitting,4.0,1.0
admonishment,3.0,2.0
adobada,3.0,2.0
adobe,7.0,6.0
adobo,6.0,5.0
adolescence,3.0,2.0
adopt,5.0,4.0
adopted,3.0,2.0
adoption,4.0,3.0
adoptions,3.0,2.0
adorable,21.0,9.5
adore,10.0,9.0
adorning,3.0,0.5
adovada,5.0,4.0
adquate,3.0,0.5
adrienne,4.0,3.0
ads,4.0,1.0
adult,11.0,1.75
adulthood,3.0,2.0
adults,16.0,4.333333333333333
advance,9.0,2.0
advanced,3.0,2.0
advancing,3.0,2.0
advantage,21.0,3.2
advantages,3.0,0.5
adventure,13.0,12.0
adventures,5.0,4.0
adventurous,8.0,7.0
adverse,3.0,2.0
adversity,3.0,0.5
advertise,7.0,1.3333333333333333
advertised,5.0,4.0
advertisement,3.0,0.5
advertising,4.0,1.0
adverts,3.0,2.0
advice,24.0,1.6666666666666667
advise,8.0,1.0
advised,4.0,1.0
advising,3.0,0.5
advisor,3.0,2.0
advocate,3.0,0.5
advocated,3.0,2.0
aeg,3.0,0.5
aerators,3.0,2.0
aerobic,3.0,2.0
aerobics,4.0,3.0
aeropress,3.0,2.0
aesthetically,3.0,0.5
aesthetics,5.0,4.0
affair,7.0,0.75
affect,4.0,3.0
affected,3.0,2.0
affects,3.0,2.0
afficianados,3.0,2.0
affiliated,5.0,0.6666666666666666
affiliation,3.0,2.0
affluent,3.0,0.5
afforadable,3.0,2.0
afford,20.0,1.5
affordable,31.0,30.0
aficionado,4.0,3.0
aficionados,3.0,2.0
afloat,4.0,1.0
aforementioned,5.0,1.5
afoul,3.0,2.0
afraid,12.0,3.0
africa,3.0,2.0
after,599.0,1.8798076923076923
afterall,4.0,1.0
afterdark,3.0,0.5
afterglow,3.0,2.0
afternoon,43.0,3.7777777777777777
afternoons,4.0,3.0
aftertaste,3.0,2.0
afterthought,5.0,0.6666666666666666
afterward,8.0,1.6666666666666667
afterwards,13.0,3.3333333333333335
again,354.0,2.0
against,17.0,2.4
agape,3.0,2.0
agave,4.0,3.0
agaves,3.0,0.5
age,21.0,2.5
aged,8.0,0.6
agency,4.0,1.0
agent,8.0,0.3333333333333333
agents,5.0,4.0
ages,7.0,6.0
aggressive,5.0,4.0
aging,6.0,2.0
agitated,3.0,0.5
ago,123.0,2.967741935483871
agonizing,3.0,0.5
agree,35.0,3.375
agreeable,3.0,0.5
agreed,12.0,1.0
agreeing,3.0,2.0
agreement,3.0,2.0
agrees,3.0,2.0
agua,4.0,3.0
aguas,3.0,2.0
agwa,3.0,2.0
ah,8.0,1.6666666666666667
ahead,36.0,2.0
ahem,3.0,0.5
ahh,3.0,2.0
ahhh,4.0,3.0
ahhhh,3.0,2.0
ahhhhh,3.0,2.0
ahi,16.0,4.333333333333333
ahold,3.0,0.5
ahwatukee,12.0,3.0
aid,6.0,5.0
aiello,4.0,3.0
aiko,3.0,2.0
aim,4.0,3.0
aimed,3.0,2.0
aimlessly,3.0,0.5
aims,3.0,2.0
ain,4.0,1.0
aint,4.0,0.3333333333333333
aioli,10.0,2.3333333333333335
aiptasia,3.0,0.5
air,35.0,1.9166666666666667
airconditioned,3.0,2.0
airfair,3.0,2.0
airfare,4.0,3.0
airline,9.0,0.8
airlines,11.0,0.375
airpark,4.0,3.0
airplane,3.0,2.0
airport,27.0,5.75
airports,3.0,2.0
airwarys,3.0,0.5
airways,9.0,0.2857142857142857
airy,8.0,3.0
aisha,3.0,0.5
aisle,3.0,0.5
aisles,9.0,2.0
aj,20.0,9.0
aji,9.0,8.0
ajo,5.0,4.0
ajos,3.0,2.0
ajs,4.0,3.0
ajvar,3.0,2.0
aka,7.0,2.5
aki,3.0,2.0
aknowledging,3.0,2.0
akor,3.0,2.0
al,13.0,3.3333333333333335
ala,7.0,2.5
alabama,3.0,0.5
alain,3.0,2.0
alameda,3.0,2.0
alan,3.0,2.0
alarmed,3.0,2.0
alas,10.0,1.0
alaskan,3.0,2.0
alaus,3.0,2.0
albacore,5.0,4.0
albeit,4.0,3.0
alber,5.0,4.0
album,3.0,2.0
albums,4.0,3.0
alcohol,22.0,2.142857142857143
alcoholic,3.0,2.0
aldo,3.0,2.0
ale,12.0,5.0
alert,6.0,1.0
alex,6.0,5.0
alexandra,3.0,2.0
alfalfa,3.0,2.0
alfonso,4.0,3.0
alfred,3.0,2.0
alfredo,11.0,10.0
algae,5.0,0.6666666666666666
ali,4.0,3.0
alice,5.0,4.0
alicia,3.0,2.0
aliens,3.0,0.5
alike,5.0,4.0
alittle,3.0,0.5
alive,7.0,0.75
all,1364.0,3.639455782312925
alla,4.0,3.0
allayed,3.0,2.0
alleged,3.0,2.0
allegiant,3.0,2.0
allen,3.0,2.0
allende,3.0,2.0
allergen,3.0,0.5
allergic,9.0,1.25
allergies,11.0,1.2
allergy,8.0,3.0
alleviated,3.0,2.0
alley,4.0,1.0
alligator,5.0,4.0
allocating,3.0,2.0
allot,3.0,2.0
alloted,3.0,0.5
allotted,3.0,0.5
allow,17.0,3.25
allowable,3.0,2.0
allowance,3.0,2.0
allowed,21.0,6.0
allowing,8.0,3.0
allows,10.0,4.0
allure,3.0,0.5
almond,13.0,5.5
almonds,6.0,5.0
almost,136.0,3.533333333333333
aloe,4.0,3.0
alofts,4.0,3.0
aloha,5.0,4.0
alone,46.0,4.111111111111111
along,66.0,5.0
alongside,6.0,2.0
alons,3.0,2.0
aloo,3.0,2.0
aloof,3.0,2.0
alot,15.0,4.0
aloud,4.0,3.0
alp,3.0,2.0
already,87.0,1.6363636363636365
alright,17.0,0.8888888888888888
also,762.0,6.326923076923077
alteration,4.0,3.0
alterations,6.0,5.0
altercation,3.0,2.0
altered,4.0,3.0
altering,4.0,3.0
alternately,4.0,3.0
alternative,10.0,9.0
alternatively,3.0,2.0
alternatives,4.0,0.3333333333333333
although,90.0,5.428571428571429
altic,3.0,2.0
aluminum,3.0,0.5
alway,3.0,2.0
always,667.0,16.102564102564102
am,453.0,3.118181818181818
ama,8.0,7.0
amaaaaazing,3.0,2.0
amaazing,3.0,2.0
amados,3.0,2.0
amalfi,3.0,2.0
amanda,12.0,1.0
amaretti,4.0,3.0
amaretto,4.0,3.0
amarillo,3.0,2.0
amaro,4.0,3.0
amateur,3.0,0.5
amaze,4.0,3.0
amazed,14.0,13.0
amazement,3.0,0.5
amazes,4.0,1.0
amazing,475.0,38.583333333333336
amazingly,17.0,16.0
amazingness,4.0,3.0
amazon,5.0,1.5
amazzzzzzing,3.0,2.0
ambassador,4.0,3.0
amber,9.0,8.0
ambiance,61.0,11.2
ambience,12.0,11.0
ambient,5.0,4.0
ambrosia,4.0,1.0
amc,13.0,0.8571428571428571
amenable,3.0,2.0
amendment,3.0,0.5
amenities,12.0,5.0
america,17.0,3.25
american,36.0,3.0
americana,3.0,2.0
americanized,7.0,1.3333333333333333
americano,4.0,3.0
americanos,4.0,3.0
americans,10.0,9.0
ami,3.0,2.0
amicable,3.0,2.0
amidst,4.0,1.0
amin,4.0,3.0
amish,5.0,0.25
ammo,3.0,2.0
amomi,4.0,3.0
among,16.0,1.2857142857142858
amongst,8.0,3.0
amore,4.0,3.0
amount,59.0,3.2142857142857144
amounted,3.0,0.5
amounts,6.0,5.0
amp,4.0,0.3333333333333333
amphitheatre,3.0,2.0
ample,15.0,6.5
ampm,4.0,0.3333333333333333
amtrack,3.0,0.5
amuse,8.0,7.0
amused,4.0,0.3333333333333333
amusement,4.0,3.0
amusing,4.0,3.0
amy,9.0,8.0
an,871.0,3.29064039408867
anal,3.0,2.0
analysis,3.0,0.5
ancho,3.0,2.0
anchor,4.0,3.0
anchors,3.0,0.5
anchovies,3.0,2.0
anchovy,3.0,2.0
and,13090.0,3.9210526315789473
andiamo,3.0,2.0
andouille,4.0,3.0
andrea,4.0,3.0
andrew,11.0,4.5
andy,4.0,3.0
anecdotes,3.0,2.0
anemic,3.0,0.5
anesthetic,3.0,2.0
anew,3.0,2.0
angel,8.0,7.0
angela,8.0,7.0
angeles,9.0,8.0
angelic,3.0,2.0
angello,3.0,2.0
angels,3.0,2.0
anger,4.0,1.0
anglaise,3.0,2.0
angle,3.0,2.0
angler,4.0,0.3333333333333333
angles,3.0,2.0
angry,9.0,0.5
angst,3.0,2.0
anibal,3.0,2.0
animal,21.0,3.2
animals,25.0,24.0
animated,4.0,3.0
animatronics,3.0,0.5
anise,4.0,1.0
aniston,3.0,2.0
ankle,3.0,0.5
ankles,4.0,0.3333333333333333
ann,4.0,3.0
anne,3.0,2.0
annie,3.0,2.0
annihilator,3.0,2.0
anniversary,21.0,20.0
announced,3.0,0.5
annoy,4.0,3.0
annoyance,5.0,0.6666666666666666
annoyed,5.0,0.6666666666666666
annoying,21.0,1.625
annual,10.0,9.0
anomaly,3.0,0.5
anonymous,3.0,2.0
another,279.0,1.2682926829268293
ans,3.0,2.0
ansel,3.0,2.0
answer,33.0,3.7142857142857144
answered,14.0,1.3333333333333333
answering,5.0,0.6666666666666666
answers,8.0,1.0
ant,3.0,2.0
anthem,6.0,5.0
anthony,3.0,2.0
anti,7.0,6.0
anticipate,5.0,4.0
anticipated,4.0,3.0
anticipating,3.0,0.5
anticipation,3.0,2.0
antipasti,9.0,8.0
antipasto,5.0,4.0
antique,4.0,3.0
antiques,4.0,3.0
antiquing,3.0,2.0
antiseptic,3.0,0.5
antithesis,3.0,2.0
antler,3.0,2.0
antonio,3.0,2.0
antono,3.0,2.0
ants,3.0,0.5
anxiety,3.0,2.0
anxious,7.0,2.5
anxiously,3.0,2.0
any,426.0,2.276923076923077
anybody,6.0,2.0
anyday,4.0,3.0
anyhoo,3.0,0.5
anyhow,5.0,1.5
anymore,34.0,1.125
anyone,99.0,2.8076923076923075
anyplace,3.0,0.5
anything,196.0,2.2666666666666666
anythings,3.0,0.5
anytime,12.0,5.0
anyway,60.0,3.0
anyways,20.0,1.8571428571428572
anywhere,81.0,5.230769230769231
anywho,3.0,2.0
ao,7.0,6.0
ap,3.0,2.0
apache,4.0,3.0
apart,18.0,1.25
apartment,14.0,1.0
apartments,5.0,0.25
ape,3.0,2.0
apiece,3.0,2.0
apologetic,3.0,0.5
apologetically,3.0,0.5
apologists,3.0,2.0
apologize,9.0,0.8
apologized,24.0,0.6
apologizes,3.0,0.5
apologizing,5.0,0.25
apology,15.0,0.25
apostles,3.0,2.0
apothecary,3.0,2.0
apothic,3.0,2.0
app,16.0,7.0
appalachians,3.0,2.0
appaled,3.0,0.5
appalled,4.0,0.3333333333333333
appalling,3.0,0.5
apparantly,3.0,0.5
apparel,4.0,3.0
apparent,4.0,3.0
apparently,38.0,0.8095238095238095
appauling,3.0,0.5
appeal,6.0,2.0
appealed,3.0,2.0
appealing,13.0,2.25
appeals,4.0,1.0
appear,12.0,3.0
appearance,8.0,1.6666666666666667
appearances,4.0,3.0
appeared,9.0,1.25
appears,19.0,2.1666666666666665
appeasing,3.0,2.0
appertizer,3.0,0.5
appetit,3.0,2.0
appetite,10.0,9.0
appetito,3.0,2.0
appetizaer,3.0,2.0
appetizer,104.0,4.473684210526316
appetizers,59.0,7.428571428571429
appetizing,5.0,4.0
applaud,3.0,0.5
apple,26.0,12.0
applebee,3.0,2.0
applebees,3.0,2.0
apples,9.0,3.5
appletini,4.0,3.0
appletinis,3.0,2.0
appliances,5.0,4.0
applied,6.0,0.5
applies,3.0,2.0
apply,5.0,0.6666666666666666
applying,3.0,2.0
appoinmtnt,3.0,2.0
appointed,5.0,1.5
appointment,43.0,4.375
appointments,8.0,3.0
appologized,3.0,0.5
appraisal,4.0,3.0
appraisals,3.0,2.0
appraiser,3.0,0.5
appreciate,30.0,2.75
appreciated,20.0,3.0
appreciates,3.0,2.0
appreciation,7.0,2.5
appreciative,3.0,2.0
apprehensive,7.0,1.3333333333333333
appreicate,3.0,2.0
approach,10.0,4.0
approachable,5.0,4.0
approached,11.0,0.8333333333333334
approaches,3.0,0.5
approaching,4.0,0.3333333333333333
appropriate,15.0,1.1428571428571428
appropriately,5.0,1.5
approx,3.0,0.5
approximate,3.0,2.0
approximately,8.0,0.6
apps,8.0,1.0
appt,9.0,0.8
appys,3.0,2.0
apricot,4.0,3.0
april,9.0,1.25
apron,3.0,0.5
apt,4.0,1.0
aqua,4.0,3.0
aquarium,3.0,2.0
aquiring,3.0,2.0
ar,3.0,2.0
arabic,4.0,3.0
arai,3.0,2.0
arbol,4.0,3.0
arboreal,3.0,2.0
arborio,3.0,2.0
arcade,4.0,3.0
arcadia,13.0,3.3333333333333335
arcane,3.0,2.0
arches,3.0,2.0
architect,3.0,2.0
architecture,4.0,3.0
archive,3.0,2.0
archway,3.0,2.0
arco,3.0,2.0
are,2135.0,6.0
area,262.0,4.574468085106383
areas,22.0,6.333333333333333
aren,53.0,4.3
arena,8.0,7.0
arent,4.0,3.0
argentine,4.0,3.0
argue,7.0,0.75
argued,7.0,0.16666666666666666
arguing,4.0,0.3333333333333333
argumentative,3.0,0.5
argyle,3.0,2.0
ariel,7.0,6.0
arigato,3.0,2.0
arise,4.0,3.0
arizona,107.0,5.6875
arizonan,3.0,2.0
arizonans,3.0,2.0
arkansas,3.0,2.0
arlecchino,4.0,3.0
arm,8.0,1.6666666666666667
armando,3.0,2.0
armed,3.0,2.0
armour,3.0,2.0
arms,12.0,2.0
army,6.0,5.0
aroma,7.0,2.5
aromas,4.0,3.0
aromatic,3.0,2.0
aromatics,3.0,2.0
around,318.0,2.925925925925926
arousal,3.0,2.0
arpege,3.0,2.0
arragont,3.0,0.5
arrange,4.0,1.0
arranged,6.0,2.0
arrangement,5.0,4.0
arrangements,7.0,2.5
arranging,3.0,2.0
array,14.0,2.5
arrested,3.0,0.5
arriba,6.0,0.5
arribas,9.0,2.0
arrival,8.0,1.6666666666666667
arrive,26.0,1.8888888888888888
arrived,76.0,1.375
arrivederci,3.0,2.0
arrives,9.0,3.5
arriving,11.0,4.5
arrogance,3.0,0.5
arrogant,9.0,3.5
arrowhead,3.0,2.0
arroz,3.0,2.0
art,50.0,15.666666666666666
artesian,3.0,2.0
artful,3.0,2.0
artfully,4.0,3.0
arthur,3.0,2.0
artichoke,24.0,7.0
artichokes,6.0,5.0
article,7.0,1.3333333333333333
articles,8.0,3.0
artie,3.0,2.0
artifacts,4.0,3.0
artificial,6.0,2.0
artisan,3.0,2.0
artist,10.0,1.0
artistic,5.0,4.0
artistically,3.0,2.0
artistry,4.0,3.0
artists,10.0,4.0
artois,4.0,3.0
arts,7.0,6.0
artsy,6.0,2.0
artwork,8.0,3.0
arugala,3.0,2.0
arugula,9.0,3.5
as,1626.0,3.897590361445783
asada,43.0,7.6
asado,7.0,2.5
asahi,3.0,2.0
asaian,3.0,2.0
asap,4.0,1.0
asasda,3.0,2.0
ascend,3.0,2.0
ascent,3.0,2.0
ash,3.0,0.5
ashamed,5.0,1.5
ashamedly,3.0,2.0
ashes,3.0,2.0
ashley,5.0,0.6666666666666666
ashtanga,3.0,2.0
ashtray,3.0,0.5
asia,3.0,2.0
asiago,3.0,2.0
asian,63.0,3.8461538461538463
asians,5.0,1.5
aside,19.0,2.8
ask,187.0,2.4
asked,207.0,0.7394957983193278
askin,3.0,2.0
asking,39.0,0.6956521739130435
asks,17.0,1.4285714285714286
asleep,5.0,4.0
asp,3.0,2.0
asparagus,18.0,8.0
aspect,10.0,9.0
aspects,4.0,3.0
aspire,3.0,2.0
aspirin,3.0,0.5
aspiring,3.0,0.5
aspx,3.0,2.0
ass,36.0,2.0
assault,3.0,0.5
assaulted,3.0,0.5
asserted,3.0,0.5
asses,5.0,1.5
assessed,3.0,2.0
assessment,6.0,5.0
asset,4.0,3.0
assets,3.0,2.0
asshat,3.0,0.5
asshole,3.0,0.5
assholes,5.0,0.25
assigned,6.0,2.0
assignment,3.0,2.0
assinine,3.0,2.0
assistance,6.0,2.0
assistant,6.0,5.0
assisted,5.0,1.5
assoc,3.0,0.5
associate,6.0,2.0
associated,5.0,1.5
associates,6.0,2.0
association,3.0,2.0
assorted,11.0,1.2
assortment,16.0,7.0
assume,10.0,0.6666666666666666
assumed,9.0,1.25
assumes,3.0,0.5
assuming,7.0,1.3333333333333333
assumption,3.0,2.0
assumptions,3.0,2.0
